		25ns master table: /dev/CMSSW_7_4_0/HLT/V212																																				
		HLT_DoubleEle33_CaloIdL_GsfTrkIdVL_v2	EXO	25ns, 50ns,	yes	CMSHLT-63, updated by CMSHLT-71 and CMSHLT-149	L1_SingleEG40 OR L1_SingleEG35 OR L1_SingleEG30 OR L1_SingleEG25 OR L1_DoubleEG_22_10 OR L1_SingleJet200	1	1			0	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		
		HLT_DoubleEle8_CaloIdM_TrackIdM_Mass8_PFHT300_v2	SUSY	25ns, 50ns,	yes	CMSHLT-167, mod. CMSHLT-293	L1_DoubleEG6_HTT150 OR L1_HTT175	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		SUSY PAG, signal trigger for discovery analysis
		HLT_DoubleIsoMu17_eta2p1_v2	HIG,TAU	25ns, 50ns,	yes	CMSHLT-160, mod. CMSHLT-272, CMSHLT-335	L1_DoubleMu_12_5	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		group: TAU, HIG, rate: 5.6Hz at 1.4e34, in shadow of unprescaled HLT_Mu17_TrkIsoVVL_Mu8_TrkIsoVVL path, type: monitor, description: DoubleMuon trigger with muons identical as in mu-leg of mu+tau. To be used for T&P measurement of mu-leg efficiency with Z->mu,mu events
		HLT_DoubleJet90_Double30_DoubleBTagCSV0p67_v2	Higgs H->4b	25ns, 50ns,	yes	CMSHLT-128, CMSHLT-405	L1_TripleJet_92_76_64_VBF OR L1_DoubleJetC100	1	1			50	25	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		group: HIG (Hbb)
		HLT_DoubleJet90_Double30_TripleBTagCSV0p67_v2	Higgs H->4b	25ns, 50ns,	yes	CMSHLT-128, CMSHLT-405	L1_TripleJet_92_76_64_VBF OR L1_DoubleJetC100	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		group: HIG (Hbb)
		HLT_DoubleMediumIsoPFTau40_Trk1_eta2p1_Reg_v2	Taus, Higgs H2taus	25ns, 50ns,	yes	CMSHLT-73	L1_DoubleIsoTau36er OR L1_DoubleIsoTau40er OR L1_DoubleIsoTau44er	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		group: TAU, HIG, EXO, rate: 46Hz at 1.4e34, type: signal, description: Trigger with a pair of Medium Iso PFTaus. The trigger is seeded by pair of L1Tau ot L1JetCen. It is followed by requirement of L2Tau pair (caloJet R=0.2 seeded by L1Tau or L1JetCen) with L2.5 pixel isolation and pair of L3 Taus (PFTau). Version with iterative tracks reconstructed in regions given by L2Taus., TODO: Estimate rate with L1_DoubleIsoTau seeds (should be smaller than current one)
		HLT_DoubleMu18NoFiltersNoVtx_v2	EXO(long-lived)	25ns, 50ns,	yes	CMSHLT-310	L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5	1	1			120	60	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		Group: EXO, Rate: Prescaled to 0.1Hz, Control path of HLT_DoubleMu33NofiltersNoVtx_v1
		HLT_DoubleMu23NoFiltersNoVtxDisplaced_v2	EXO (long-lived)	25ns, 50ns,	yes	CMSHLT-140	L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		- group: EXO,DisplacedSUSY, - rate: 0.24 Hz( 25ns,PU40, 13TeV MC), - type: signal, - approval: https://indico.cern.ch/event/336052/contribution/4/material/slides/0.pdf, - description: Double Muon HLT path for DisplacedSUSY, which is searching for muons with large impact parameters. Vertex constraints have been removed.
		HLT_DoubleMu28NoFiltersNoVtxDisplaced_v2	EXO (long-lived)	25ns, 50ns,	yes	CMSHLT-140	L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		- group: EXO,DisplacedSUSY, - rate: 0.007Hz( 25ns,PU40, 13TeV MC), - type: backup, - approval: https://indico.cern.ch/event/336052/contribution/4/material/slides/0.pdf, - description: Double Muon HLT path for DisplacedSUSY, which is searching for muons with large impact parameters. Vertex constraints have been removed.
		HLT_DoubleMu33NoFiltersNoVtx_v2	EXO (long-lived)	25ns, 50ns,	yes	CMSHLT-97	L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		- group: EXO,DisplacedSUSY, - rate: 4.14 Hz( 25ns,PU20, 13TeV MC), - type: signal, - approval: https://indico.cern.ch/event/336052/contribution/4/material/slides/0.pdf, - description: Double Muon HLT path for DisplacedSUSY, which is searching for muons with large impact parameters. Vertex constraints have been removed.
		HLT_DoubleMu38NoFiltersNoVtx_v2	EXO (long-lived)	25ns, 50ns,	yes	CMSHLT-97	L1_DoubleMu_10_3p5 OR L1_DoubleMu_12_5	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		- group: EXO,DisplacedSUSY, - rate: 2.57 Hz( 25ns,PU20, 13TeV MC), - type: backup, - approval: https://indico.cern.ch/event/336052/contribution/4/material/slides/0.pdf, - description: Double Muon HLT path for DisplacedSUSY, which is searching for muons with large impact parameters. Vertex constraints have been removed.
		HLT_DoubleMu4_3_Bs_v2	BPH	25ns, 50ns,	yes	CMSHLT-82	L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		- group: BPH, - exp rate at 1.4E34: 12 Hz, - type: signal, - description: Bs-->mumu
		HLT_DoubleMu4_3_Jpsi_Displaced_v2	BPH	25ns, 50ns,	yes	CMSHLT-82	L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18	1	1			5	2	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		- group: BPH, - exp rate at 1.4E34: 8 Hz (prescale=5), - type: signal, - description: Bs-->mumu
		HLT_DoubleMu4_JpsiTrk_Displaced_v2	BPH	25ns, 50ns,	yes	CMSHLT-82	L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		- group: BPH, - exp rate at 1.4E34: 23 Hz, - type: signal, - description: B studies
		HLT_DoubleMu4_LowMassNonResonantTrk_Displaced_v2	BPH	25ns, 50ns,	yes	CMSHLT-82	L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		- group: BPH, - exp rate at 1.4E34: 42 Hz, - type: signal, - description: B studies
		HLT_DoubleMu4_PsiPrimeTrk_Displaced_v2	BPH	25ns, 50ns,	yes	CMSHLT-82	L1_DoubleMu0_Eta1p6_WdEta18 OR L1_DoubleMu0_Eta1p6_WdEta18_OS OR L1_DoubleMu_10_0_WdEta18	1	1			1	1	#REF!	#REF!			ms		±		Hz		±		Hz		ms		±		Hz		±		Hz		- group: BPH, - exp rate at 1.4E34: 2 Hz, - type: signal, - description: B studies
