master: 	/dev/CMSSW_7_4_0/50nsHLT/V215																																							  1 072.0	±		Hz	STEAM rates evaluated on the Spring'15 samples, corresponding to a luminoity of 5e33 cm⁻²s⁻¹ with the menu
menu:	/frozen/2015/50ns_5e33/v2.1/HLT/V5																																											/dev/CMSSW_7_4_0/50nsGRun/V116
								Old L1		L1 prescales								HLT prescales								Total prescales																		
A	Charmonium	HLT_QuadMuon0_Dimuon0_Jpsi_v1	BPH	yes	CMHSLT-155	L1_QuadMu0		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   0.3	±	   0.2	Hz	group: BPH, muon, - rate: 8.8 Hz, - type: signal, - approval: http://indico.cern.ch/getFile.py/access?subContId=2&contribId=1&resId=0&materialId=slides&confId=179432, - description: Jpsi displaced path for all B-Physics analyses. Control path for Bs->mumu
A	Commissioning	HLT_Activity_Ecal_SC7_v1	ECAL	yes	CMSHLT-252, CMSHLT-378	L1_ZeroBias		  5 000										   650	   650	   650	   650	   650	   650	   650		0	0	0	0	0	0	0			ms		±		Hz	0	±	0	Hz	The request is to increase the rate of this path to 10 Hz for the 50ns ramp up period
A	Commissioning	HLT_IsoTrackHB_v1		yes	CMSHLT-289	L1_SingleJet68		  20 000										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	0	±	0	Hz	
A	Commissioning	HLT_IsoTrackHE_v1		yes	CMSHLT-289	L1_SingleJet68		  20 000										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	0	±	0	Hz	
A	Commissioning	HLT_L1SingleMuOpen_DT_v1		yes	CMSHLT-261 (for commissioning)	L1_SingleMuOpen		  262 139										0	0	0	0	0	0	0		0	0	0	0	0	0	0			ms		±		Hz	0	±	0	Hz	
A	Commissioning	HLT_L1Tech_DT_GlobalOR_v1		yes	CMSHLT-261 (for commissioning)	20		   1										0	0	0	0	0	0	0		0	0	0	0	0	0	0			ms		±		Hz	0	±	0	Hz	
A	DisplacedJet	HLT_HT350_DisplacedDijet40_DisplacedTrack_v2	EXO (long-lived)	yes	CMSHLT-196 (only for 7e33)	L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_HTT200		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   4.8	±	   1.0	Hz	group: EXO, menu: 7e33, rate: 4 Hz, type: Signal, description: ht350 + 2 jets pt > 40 with at most 2 prompt tracks and 1 displaced track with high IP significance
A	DisplacedJet	HLT_HT350_DisplacedDijet80_DisplacedTrack_v2	EXO (long-lived)	yes	CMSHLT-168	L1_HTT150 OR L1_HTT175 OR L1_HTT200		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   0.9	±	   1.0	Hz	group: EXO, rate: 4.1 Hz 1.4E34, type: Signal, description: HT > 350 + 2 central Jets pt 80 with at most 2 prompt tracks and at least 1 track with IP significance > 5.0 with D_xy > .05 cm
A	DisplacedJet	HLT_HT350_DisplacedDijet80_Tight_DisplacedTrack_v2	EXO (long-lived)	yes	CMSHLT-168	L1_HTT150 OR L1_HTT175 OR L1_HTT200		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   0.5	±	   1.0	Hz	group: EXO, rate: 2.1 Hz 1.4E34, type: Signal Backup, description: HT > 350 + 2 central Jets pt 80 with at most 2 prompt tracks and at least 1 track with IP significance > 10.0 with D_xy > .05cm
A	DisplacedJet	HLT_HT500_DisplacedDijet40_Inclusive_v2	EXO	yes	CMSHLT-196	L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_HTT200		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   13.6	±	   0.3	Hz	group: EXO, menu: 7e33, rate: 7 Hz, type: Signal, description: ht500 + 2 jets pt > 40 with at most 2 prompt tracks
A	DisplacedJet	HLT_HT550_DisplacedDijet40_Inclusive_v2	EXO	yes	CMSHLT-196	L1_HTT125 OR L1_HTT150 OR L1_HTT175 OR L1_HTT200		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   8.0	±	   0.2	Hz	group: EXO, menu: 7e33, rate: 3 Hz, type: Backup, description: ht550 + 2 jets pt > 40 with at most 2 prompt tracks
A	DisplacedJet	HLT_HT650_DisplacedDijet80_Inclusive_v2	EXO	yes	CMSHLT-168	L1_HTT150 OR L1_HTT175 OR L1_HTT200		   1										   1	   1	   1	   1	   1	   1	   1		0	0	0	0	0	0	0			ms		±		Hz	   0.5	±	   0.0	Hz	group: EXO, rate: 3.5 Hz 1.4E34, type: Signal , description: HT > 650 and 2 central Jets pt 80 with at most 2 prompt tracks
