Path	Group	QCDPt15to30	QCDPt30to50	QCDPt50to80	QCDPt80to120	QCDPt120to170	QCDPt170to300	QCDPt300to470	QCDPt470to600	QCDPt600to800	DYToEE	DYToMuMu	WToENu	WToMuNu	QCDPt30to80EMEnriched	QCDPt80to170EMEnriched	QCDPt30to50MuEnrichedPt5PionKaonDecay	QCDPt50to80MuEnrichedPt5PionKaonDecay	QCDPt80to120MuEnrichedPt5PionKaonDecay	
L1_Mu5_EG20	L1	0	29	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	
L1_ETM70	L1	0	54	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	
L1_Jet32_DoubleMu_Open_10_MuMuNotWdPhi23_JetMuWdPhi1	L1	0	31	0	0	0	0	0	0	0	0	52	0	0	0	0	0	0	0	
L1_ETM70_NotJet52WdPhi2	L1	0	54	0	0	0	0	0	0	0	0	78	0	0	0	0	0	0	0	
L1_ZeroBias	L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1_SingleMuOpen_NotBptxOR	L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L1_Mu10er_ETM50	L1	0	17	0	0	0	0	0	0	0	0	33	0	0	0	0	0	0	0	
L1_DoubleMu7_EG7	L1	0	3	0	0	0	0	0	0	0	0	11	0	0	0	0	0	0	0	
L1_DoubleMu_10_3p5	L1	0	12	0	0	0	0	0	0	0	0	26	0	0	0	0	0	0	0	
L1_SingleMu30er	L1	0	10	0	0	0	0	0	0	0	0	17	0	0	0	0	0	0	0	
L1_SingleIsoEG20er	L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L1_SingleJet200	L1	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
L1_Mu5_IsoEG18	L1	0	29	0	0	0	0	0	0	0	0	48	0	0	0	0	0	0	0	
L1_Mu16er_TauJet20er	L1	0	16	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	
L1_SingleIsoEG30er	L1	0	69	0	0	0	0	0	0	0	0	97	0	0	0	0	0	0	0	
L1_DoubleMuOpen	L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
L1_DoubleTauJet40er	L1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
