Path	Group	QCDPt15to30	QCDPt30to50	QCDPt50to80	QCDPt80to120	QCDPt120to170	QCDPt170to300	QCDPt300to470	QCDPt470to600	QCDPt600to800	DYToEE	DYToMuMu	WToENu	WToMuNu	QCDPt30to80EMEnriched	QCDPt80to170EMEnriched	QCDPt30to50MuEnrichedPt5PionKaonDecay	QCDPt50to80MuEnrichedPt5PionKaonDecay	QCDPt80to120MuEnrichedPt5PionKaonDecay	
HLT_IsoMu17_eta2p1_LooseIsoPFTau20_SingleL1_v2	TAU,HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_CaloJet500_NoJetID_v2	EXO	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
HLT_Dimuon10_Jpsi_Barrel_v1	BPH	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Mu8_TrkIsoVVL_Ele17_CaloIdL_TrackIdL_IsoVL_v2	HIG,SMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_IsoMu17_eta2p1_MediumIsoPFTau40_Trk1_eta2p1_Reg_v2	TAU,HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_JetE70_NoBPTX3BX_NoHalo_v2	EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_RsqMR270_Rsq0p09_MR200_v1	SUSY	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	
HLT_Mu38NoFiltersNoVtx_DisplacedJet60_Loose_v2	EXO	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_ZeroBias_v1	TSG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Photon75_R9Id90_HE10_IsoM_v2	SMP,SUSY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Photon120_R9Id90_HE10_IsoM_v2	SMP,SUSY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_Ele22_eta2p1_WPTight_Gsf_v1	TAU,HIG	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_PFJet80_v2	SMP	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_PFHT350_DiPFJetAve90_PFAlphaT0p53_v1	SUSY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
HLT_HT2500_v1	PPD	0	70	0	0	0	0	0	0	0	0	100	0	0	0	0	0	0	0	
HLT_TrkMu15_DoubleTrkMu5NoFiltersNoVtx_v2	EXO,SUSY	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	
